FunctionalGroupName,FunctionalGroupIndex,TemperatureCurve1,TemperatureCurve2,TemperatureCurve3,TemperatureCurve4,FractionANPPtoLeaf,LeafBiomassToLAI,KLAI,MaximumLAI,MoistureCurve2,MoistureCurve3,WoodDecayRate,MonthlyWoodMortality,LongevityMortalityShape,FoliageDropMonth,CoarseRootFraction,FineRootFraction,MinLAI,MoistureCurve1,MoistureCurve4,MinSoilDrain
"Dry/cold pines (jack, red)",1,20,33,1.8,2.6,0.5,-0.9,12000,7,0.46936854,92.94036326,0.5,0.0006,15,9,0.23,0.2,0.1,0.23534447,0.01073926,0.3
"Mesic/cold conifers (balsam fir, white spruce)",2,20,33,1.8,2.6,0.5,-0.9,12000,10,-2143.842529,2730.201431,0.5,0.0006,15,9,0.23,0.2,0.1,0.2728706,64458.32499,0.3
Mesic/warm conifers (eastern white pine),3,25,40,1,3,0.55,-0.9,3000,7,-2143.842529,2730.201431,0.5,0.0006,15,9,0.23,0.2,0.1,0.2728706,64458.32499,0.3
Wet conifer (black spruce),4,20,33,1.8,2.6,0.5,-0.9,12000,7,0.03,1,0.5,0.0006,15,9,0.23,0.2,0.1,0.35,1,0.02
"Facultative wet conifers (tamarack, cedar)",5,20,33,1.8,2.6,0.5,-0.9,12000,7,0.03,2,0.5,0.0006,15,9,0.23,0.2,0.1,0.1,0.3,0.12
"Northern hardwoods (birches, sugar maple, mountain ash)",6,25,40,1.5,2.5,0.6,-0.9,7000,10,0.5,1,0.7,0.0006,15,9,0.2,0.5,0.1,0.2,3,0.3
Aspen,7,22,38,1.2,5,0.5,-0.9,3000,6,0.6,1,0.6,0.0006,15,9,0.2,0.5,0.1,0.25,3,0.3
"Southern hardwoods (red maple, oaks)",8,27,40,1,2.5,0.6,-0.9,5000,6,0.8,5,0.6,0.0006,15,9,0.2,0.5,0.1,0.08,15,0.3
"Wet broadleaf (alder, ash, crataegus)",9,25,40,1.5,2.5,0.6,-0.9,7000,10,0.05,3,0.7,0.0006,15,9,0.2,0.5,0.1,0.4,0.05,0
Shrub,10,25,40,1.5,2.5,0.4,-0.9,2000,3,0.5,1,0.6,0.0019,15,10,0.1,0.1,0.05,0.2,3,0.3
