"","Species","shape","scale"
"1","ABBA",1.2792705872471,4.10493553849057
"2","ACRU",1.36330996388583,4.50569400518628
"3","ACSA3",2.00576610366825,7.39007477193477
"4","ACSP2",1.5837367535251,4.85581178023029
"5","BEAL2",2.00434141043285,6.71019213307643
"6","BEPA",1.12602054376395,3.02042715191811
"7","FRNI",1.5762727954814,5.08585461638209
"8","LALA",0.720454769908791,0.694360440514267
"9","PIBA2",0.83868867720456,1.09894771191471
"10","PIGL",1.31311909168754,4.27029109889386
"11","PIMA",0.788452876143777,1.25537844113853
"12","PIRE",1.22013368169859,3.74653661109766
"13","PIST",0.950879162691623,1.97816096412429
"14","POBA2",1.33444916088889,3.40684691492769
"15","POGR4",1.36461877369923,4.63234987127789
"16","POTR5",1.29612352721218,4.00454286939285
"17","PRVI",1.43445922988688,4.75706052673499
"18","QURU",1.49947402250772,5.3492561944417
"19","SODE3",1.32829881269912,4.89316746291827
"20","THOC2",1.10593113355111,2.76732841697803
